Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.836,0.849902,0.37815679,0.00387957,0.0020356
plastid,0.8465,0.857589,0.38683791,0.0033555,0.00180378
plastid,0.8785,0.910441,0.30881526,0.00302741,0.00116939
plastid,0.857,0.863422,0.38626537,0.00369265,0.00196141
plastid,0.835,0.845819,0.36522724,0.00395702,0.00200299
plastid,0.8455,0.855683,0.39017179,0.00348744,0.00186442
plastid,0.853,0.884857,0.29837631,0.00327524,0.00125137
plastid,0.838,0.849362,0.3872115,0.00346214,0.00185271
plastid,0.8375,0.848509,0.37273144,0.00398653,0.00203645
plastid,0.8475,0.857212,0.39017123,0.00348571,0.00185367
plastid,0.8485,0.858297,0.38344334,0.00334409,0.00175432
plastid,0.8475,0.859115,0.38521092,0.00337149,0.00177747
plastid,0.8305,0.849219,0.36486307,0.00395589,0.00204917
plastid,0.8315,0.847522,0.37459131,0.00395725,0.00210426
plastid,0.8385,0.848458,0.37772059,0.00367601,0.00190561
plastid,0.831,0.842471,0.37769432,0.0038651,0.00200125
plastid,0.8125,0.830095,0.37014196,0.00353451,0.00179074
plastid,0.835,0.845258,0.38512568,0.00396863,0.00211396
plastid,0.8325,0.848051,0.37977254,0.00391901,0.00210332
plastid,0.8355,0.847769,0.37389141,0.00392229,0.0020121
archaea,0.8865,0.866823,0.3597127,0.06662625,0.02927176
archaea,0.911,0.873306,0.61705145,0.10115322,0.09264206
archaea,0.9105,0.866486,0.64124865,0.13582236,0.12929786
archaea,0.9175,0.943764,0.31312585,0.04450003,0.01934846
archaea,0.9515,0.931959,0.55531484,0.04160806,0.03518932
archaea,0.8835,0.843701,0.68383806,0.07653291,0.07662332
archaea,0.9445,0.936276,0.40877246,0.04767708,0.02603847
archaea,0.967,0.948727,0.44974639,0.04897796,0.02827725
archaea,0.956,0.948175,0.46233225,0.07972675,0.05018778
archaea,0.9075,0.865962,0.64985009,0.09411863,0.09067097
archaea,0.9275,0.940577,0.32702744,0.0664586,0.03091455
archaea,0.899,0.860318,0.65807612,0.09831277,0.09546397
archaea,0.9575,0.950306,0.41917914,0.05962842,0.03514672
archaea,0.943,0.942449,0.35875094,0.03920511,0.017852
archaea,0.916,0.872948,0.6366834,0.08330045,0.07805778
archaea,0.8985,0.925183,0.309843,0.04013119,0.01783046
archaea,0.9575,0.953491,0.41960429,0.06775133,0.04121473
archaea,0.9405,0.901614,0.60037568,0.12087946,0.11091269
archaea,0.95,0.944052,0.41668035,0.10197179,0.06222643
archaea,0.882,0.806375,0.6167643,0.10543765,0.09610816
mitochondrion,0.9605,0.969558,0.47273065,0.00040472,0.00022715
mitochondrion,0.914,0.922171,0.46576289,0.00047073,0.00025851
mitochondrion,0.879,0.942554,0.32926169,0.0004159,0.00017098
mitochondrion,0.8385,0.93549,0.19098419,0.00038472,9.951e-05
mitochondrion,0.76,0.789501,0.28882656,0.00049969,0.00016788
mitochondrion,0.9455,0.974918,0.38500062,0.00040477,0.00022103
mitochondrion,0.9645,0.972261,0.45957419,0.00038908,0.0002005
mitochondrion,0.9105,0.972197,0.2788166,0.0003908,0.00012787
mitochondrion,0.97,0.971154,0.39713343,0.00039461,0.00020028
mitochondrion,0.989,0.985204,0.43521655,0.00041373,0.00019677
mitochondrion,0.9625,0.978082,0.35744874,0.0003857,0.00016113
mitochondrion,0.8875,0.953999,0.25337053,0.00048447,0.00013669
mitochondrion,0.9475,0.975439,0.38334327,0.00046155,0.00022337
mitochondrion,0.9805,0.975791,0.47216495,0.00041267,0.0002295
mitochondrion,0.9525,0.979253,0.38105434,0.00043247,0.00019241
mitochondrion,0.8935,0.964305,0.25184757,0.00038943,0.00011699
mitochondrion,0.8665,0.924765,0.24352991,0.0004129,0.00013788
mitochondrion,0.8485,0.843951,0.32093412,0.00272408,0.00127234
mitochondrion,0.89,0.948619,0.25517849,0.00045427,0.00014061
mitochondrion,0.9555,0.962004,0.38905918,0.00042454,0.00017348
fungi,0.9775,0.956165,0.41769081,0.22139232,0.14541141
fungi,0.975,0.948217,0.45750539,0.30192007,0.23114078
fungi,0.9235,0.586881,0.4377156,0.9281457,1.55322976
fungi,0.9895,0.96003,0.47149842,0.80441991,0.56923993
fungi,0.9485,0.866563,0.52721722,0.88597023,0.79712309
fungi,0.9585,0.929078,0.38940515,0.2662998,0.19017119
fungi,0.977,0.93751,0.43667924,0.94545951,0.76487286
fungi,0.987,0.942867,0.48441858,0.52291994,0.4131538
fungi,0.9765,0.85003,0.5224314,0.88935824,0.82822227
fungi,0.984,0.959475,0.46151728,0.26492934,0.1984658
fungi,0.9795,0.910267,0.54159766,0.6700603,0.63193884
fungi,0.9885,0.950902,0.50028348,0.78839239,0.5970369
fungi,0.9885,0.909,0.48359472,0.65576557,0.57004288
fungi,0.9535,0.850131,0.42070025,0.37981424,0.39475307
fungi,0.9605,0.897698,0.54685298,0.77169104,0.71856196
fungi,0.986,0.945935,0.5323335,0.65957772,0.58630077
fungi,0.9835,0.954573,0.47261871,0.5469591,0.43081192
fungi,0.9765,0.934599,0.54070441,0.70718232,0.70844612
fungi,0.98,0.896068,0.51668815,0.73363393,0.67698615
fungi,0.986,0.953367,0.50770746,0.74479211,0.61041904
plant,0.9245,0.68834,0.37977644,9.44307234,12.43403993
plant,0.9125,0.546112,0.38359594,13.90284835,26.13219634
plant,0.9715,0.922201,0.51655158,1.050376,0.99273626
plant,0.924,0.738106,0.38926259,8.09435755,8.78090225
plant,0.943,0.774793,0.40369485,6.56735251,6.5792932
plant,0.95,0.792301,0.40560298,9.01136274,9.38487456
plant,0.937,0.79639,0.54375373,2.36606739,2.74865339
plant,0.937,0.84435,0.39946092,4.45568409,4.77262568
