Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.8605,0.882157,0.37903878,0.00387041,0.00201945
plastid,0.87,0.886469,0.38843204,0.00334759,0.00179866
plastid,0.89,0.924468,0.31037111,0.00302038,0.00117198
plastid,0.881,0.895696,0.3870788,0.00368301,0.00196653
plastid,0.8595,0.879153,0.36624567,0.00394711,0.00199512
plastid,0.8695,0.887724,0.3909002,0.00347838,0.0018608
plastid,0.868,0.904533,0.300216,0.00326726,0.00126714
plastid,0.864,0.885874,0.38800487,0.0034537,0.00185395
plastid,0.86,0.881783,0.37381207,0.00397634,0.00202634
plastid,0.8705,0.889512,0.39115477,0.0034772,0.00187083
plastid,0.87,0.888615,0.38494022,0.00333648,0.00175198
plastid,0.8705,0.890408,0.38638782,0.00336369,0.00176067
plastid,0.852,0.879114,0.36607703,0.00394578,0.00204401
plastid,0.855,0.877036,0.37575362,0.00394754,0.00209469
plastid,0.8605,0.878404,0.37885436,0.00366765,0.00190782
plastid,0.8545,0.874115,0.37838364,0.00385614,0.00198942
plastid,0.8435,0.872967,0.37088175,0.0035253,0.0017985
plastid,0.858,0.877274,0.38601537,0.00395877,0.00210394
plastid,0.86,0.879554,0.38107584,0.00390935,0.00210086
plastid,0.858,0.878594,0.37509435,0.00391238,0.00200487
archaea,0.899,0.883991,0.361097,0.0664612,0.02932439
archaea,0.9195,0.882519,0.61595106,0.10089806,0.09177787
archaea,0.916,0.872006,0.6397939,0.13548274,0.12800991
archaea,0.921,0.946282,0.31505862,0.04438837,0.01929982
archaea,0.955,0.934717,0.55475883,0.04150748,0.03487911
archaea,0.8905,0.848038,0.68190921,0.07633987,0.07582716
archaea,0.949,0.940654,0.40980981,0.04755853,0.02594082
archaea,0.969,0.950503,0.45018577,0.04885434,0.02817508
archaea,0.96,0.951985,0.46270702,0.07952539,0.04997281
archaea,0.913,0.87008,0.64829987,0.09388224,0.08974739
archaea,0.9315,0.94556,0.32878745,0.06629115,0.03087808
archaea,0.9045,0.86429,0.65656777,0.09806534,0.09456604
archaea,0.96,0.953358,0.42003497,0.05947529,0.03500282
archaea,0.946,0.945392,0.36009555,0.03910743,0.01784977
archaea,0.922,0.878323,0.63529164,0.08309339,0.07733094
archaea,0.904,0.930217,0.31179042,0.04002766,0.01778334
archaea,0.9615,0.957903,0.42028032,0.06758423,0.04101428
archaea,0.9445,0.905538,0.59925461,0.12057185,0.10976296
archaea,0.954,0.948746,0.41751805,0.101719,0.06199484
archaea,0.9,0.835558,0.61555262,0.10517441,0.09518836
mitochondrion,0.9605,0.969499,0.47226526,0.00040379,0.00022775
mitochondrion,0.9285,0.942991,0.4657286,0.00046953,0.00025671
mitochondrion,0.893,0.953232,0.33228802,0.00041498,0.00016744
mitochondrion,0.8415,0.933386,0.19262883,0.00038364,9.99e-05
mitochondrion,0.783,0.828152,0.29100954,0.00049826,0.00016487
mitochondrion,0.948,0.975385,0.38668318,0.00040404,0.00021509
mitochondrion,0.9665,0.9738,0.45921197,0.00038807,0.00019865
mitochondrion,0.913,0.972972,0.28013866,0.00038985,0.00012686
mitochondrion,0.9715,0.97242,0.39836003,0.00039371,0.00019707
mitochondrion,0.99,0.985008,0.43503304,0.00041275,0.00019872
mitochondrion,0.964,0.979898,0.3586808,0.00038472,0.00015955
mitochondrion,0.894,0.960111,0.25709992,0.0004829,0.00013415
mitochondrion,0.951,0.975333,0.38578266,0.00046012,0.00023136
mitochondrion,0.982,0.976803,0.4724687,0.00041177,0.00023629
mitochondrion,0.953,0.98063,0.38076187,0.00043162,0.00019322
mitochondrion,0.8965,0.964661,0.25491207,0.00038847,0.00012021
mitochondrion,0.872,0.933073,0.24533803,0.000412,0.00013472
mitochondrion,0.862,0.85843,0.32275142,0.00271812,0.00126232
mitochondrion,0.8925,0.951279,0.25680676,0.00045314,0.0001371
mitochondrion,0.9585,0.965885,0.39046156,0.00042346,0.00017788
fungi,0.9785,0.958098,0.41859391,0.22099479,0.14520845
fungi,0.9775,0.951398,0.45793554,0.30140214,0.230019
fungi,0.935,0.637989,0.43885008,0.93357306,1.54547812
fungi,0.99,0.961353,0.47180801,0.80270036,0.5664319
fungi,0.957,0.881274,0.52686333,0.88459334,0.79095281
fungi,0.963,0.935749,0.39065555,0.26602782,0.18991731
fungi,0.9785,0.942632,0.43743156,0.9443749,0.76147965
fungi,0.988,0.945942,0.48460333,0.52209319,0.41092979
fungi,0.9795,0.863031,0.52213876,0.88817485,0.82228472
fungi,0.985,0.961221,0.46191139,0.26442645,0.19745978
fungi,0.9815,0.917203,0.54112553,0.66912051,0.6269082
fungi,0.9895,0.953233,0.50025921,0.7867696,0.59376582
fungi,0.9895,0.919927,0.48381351,0.65504916,0.56695998
fungi,0.959,0.863661,0.42173807,0.38007866,0.39292127
fungi,0.9675,0.907072,0.5463448,0.77057068,0.71294756
fungi,0.987,0.947191,0.53200165,0.65842983,0.58207205
fungi,0.9845,0.955135,0.4728697,0.54609023,0.42844341
fungi,0.9775,0.935763,0.54024145,0.70621895,0.70236106
fungi,0.9815,0.908042,0.51647945,0.73280353,0.67235014
fungi,0.9865,0.954159,0.50756182,0.74357576,0.60617838
plant,0.9355,0.73489,0.38191606,9.49296237,12.38817875
plant,0.926,0.609239,0.38613705,14.03390666,26.0152261
plant,0.9745,0.927643,0.51632898,1.04909038,0.98567678
plant,0.935,0.784015,0.39086626,8.10997562,8.75576431
plant,0.9525,0.822318,0.40519757,6.5867115,6.55853811
plant,0.9565,0.826711,0.40691698,9.02264415,9.35356225
plant,0.949,0.822911,0.54312768,2.36938951,2.72864801
plant,0.946,0.86603,0.40098808,4.46729949,4.75665564
plant,0.935,0.85714,0.38958292,0.29550427,0.21442836
plant,0.948,0.82887,0.39156616,16.09223534,19.30258232
plant,0.943,0.817224,0.38034622,6.89924284,7.70230992
plant,0.931,0.787935,0.40386928,4.17273241,3.82119554
plant,0.907,0.863317,0.38705489,4.90475564,2.60000839
plant,0.936,0.781782,0.37089198,13.14520226,15.13654321
plant,0.9585,0.767685,0.40513722,15.23972921,20.23201854
plant,0.9545,0.823883,0.4122852,11.8468203,12.85759101
plant,0.9605,0.902517,0.54469448,0.37819607,0.35567761
plant,0.9495,0.80081,0.39006902,6.56577206,7.57558568
plant,0.9365,0.749908,0.39974994,4.30740366,4.81445327
plant,0.941,0.617121,0.41386782,11.05494097,14.80395719
viral,0.921,0.950648,0.30653831,0.00387349,0.00191174
viral,1.018,1.05527,0.51753555,5.28e-05,4.044e-05
