Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.9235,0.94429,0.38423066,0.00383289,0.00201798
plastid,0.9295,0.943054,0.39301455,0.00331601,0.00179639
plastid,0.921,0.950128,0.31812441,0.002992,0.0011764
plastid,0.934,0.94788,0.39186492,0.00364908,0.00195805
plastid,0.9205,0.941939,0.37154436,0.00390887,0.00198652
plastid,0.9265,0.942421,0.39560607,0.0034458,0.00186509
plastid,0.9085,0.944815,0.30882251,0.00323625,0.00127646
plastid,0.9245,0.940901,0.39193054,0.00342134,0.00184826
plastid,0.9235,0.941917,0.37813946,0.00393785,0.00202848
plastid,0.9285,0.942256,0.39523581,0.00344484,0.0018496
plastid,0.9295,0.945311,0.38889815,0.0033042,0.00174788
plastid,0.9285,0.943884,0.39136345,0.0033323,0.001765
plastid,0.919,0.940641,0.37189966,0.00390682,0.0020479
plastid,0.924,0.94351,0.38064107,0.00390842,0.00207182
plastid,0.9265,0.94439,0.38351862,0.00363329,0.0018748
plastid,0.925,0.942295,0.38417383,0.00381913,0.00198977
plastid,0.918,0.939325,0.3774015,0.00349099,0.00178748
plastid,0.9255,0.942574,0.38989043,0.00392161,0.00210301
plastid,0.925,0.9434,0.38612978,0.00387198,0.00207006
plastid,0.92,0.940044,0.38021711,0.00387526,0.00202287
archaea,0.9355,0.927076,0.3666782,0.0658002,0.02922392
archaea,0.942,0.90168,0.61102621,0.09989633,0.08834658
archaea,0.933,0.885102,0.63388897,0.13412849,0.12299789
archaea,0.933,0.953324,0.32272403,0.04394774,0.01928824
archaea,0.967,0.94186,0.55273048,0.04109135,0.03377793
archaea,0.912,0.861504,0.67417181,0.07557821,0.07284775
archaea,0.9615,0.951498,0.4135781,0.04708484,0.02572639
archaea,0.9755,0.95472,0.45246416,0.04836541,0.02787171
archaea,0.9725,0.959224,0.46412845,0.07873455,0.04907276
archaea,0.9295,0.881546,0.64220743,0.09294362,0.08620687
archaea,0.943,0.956383,0.33580695,0.06563608,0.03077096
archaea,0.923,0.876157,0.64991546,0.09708496,0.09082337
archaea,0.9685,0.959047,0.42327836,0.05888688,0.03446922
archaea,0.955,0.951564,0.36623792,0.03871428,0.01779207
archaea,0.939,0.891034,0.62960368,0.08226749,0.07440056
archaea,0.921,0.942621,0.3192947,0.03963092,0.0176369
archaea,0.972,0.966392,0.42360946,0.06691089,0.04022014
archaea,0.9555,0.914533,0.5952589,0.11936626,0.10549219
archaea,0.966,0.95843,0.42077642,0.1007018,0.06068039
archaea,0.94,0.890633,0.61072632,0.1041209,0.09162505
mitochondrion,0.9665,0.972561,0.47193191,0.00039989,0.00022443
mitochondrion,0.9535,0.959438,0.46624019,0.00046553,0.00025994
mitochondrion,0.9205,0.970424,0.33936293,0.0004109,0.00017569
mitochondrion,0.8585,0.945379,0.20482799,0.00038047,9.735e-05
mitochondrion,0.8755,0.915088,0.29912365,0.00049403,0.00016944
mitochondrion,0.954,0.978502,0.39070407,0.00040059,0.00021606
mitochondrion,0.9705,0.97588,0.46124813,0.00038457,0.00019992
mitochondrion,0.92,0.976973,0.28857106,0.0003867,0.00013278
mitochondrion,0.977,0.977015,0.40187155,0.00039045,0.00019401
mitochondrion,0.9925,0.987432,0.43780577,0.00040922,0.00019656
mitochondrion,0.9675,0.981557,0.36422145,0.00038107,0.00016563
mitochondrion,0.907,0.963794,0.26632903,0.00047932,0.00014078
mitochondrion,0.956,0.981102,0.38800483,0.00045607,0.0002208
mitochondrion,0.9865,0.979109,0.47541386,0.00040817,0.00022588
mitochondrion,0.958,0.981495,0.38464689,0.00042772,0.00019599
mitochondrion,0.9055,0.965264,0.26300052,0.000385,0.00012617
mitochondrion,0.891,0.949273,0.25599068,0.00040835,0.00013728
mitochondrion,0.894,0.895695,0.33023481,0.00269222,0.00123358
mitochondrion,0.9015,0.962599,0.26501255,0.00044884,0.00014045
mitochondrion,0.9675,0.975272,0.39278473,0.00041968,0.00018008
fungi,0.9825,0.962403,0.42221041,0.21944259,0.14387175
fungi,0.9845,0.958255,0.4596931,0.29937035,0.22529787
fungi,0.9645,0.784049,0.44325978,0.95525456,1.51523868
fungi,0.992,0.963499,0.47297811,0.79589231,0.55561595
fungi,0.9765,0.919242,0.5256413,0.87915355,0.76770328
fungi,0.975,0.951557,0.39577403,0.26491245,0.1888758
fungi,0.983,0.953651,0.44029229,0.94016859,0.74810944
fungi,0.9915,0.954102,0.48524896,0.51875816,0.40252593
fungi,0.9865,0.902169,0.52117106,0.88363934,0.79864119
fungi,0.988,0.964158,0.46350237,0.26241368,0.19302701
