Domain,DNA,AA,GC,L_DNA,L_AA
plastid,0.896,0.922925,0.38097341,0.00385279,0.00201762
plastid,0.904,0.923759,0.39116752,0.00333205,0.00180114
plastid,0.9075,0.939084,0.31390672,0.00300542,0.00117134
plastid,0.911,0.929078,0.38966075,0.00366555,0.00194539
plastid,0.8975,0.920925,0.3687222,0.00392759,0.00197821
plastid,0.904,0.92328,0.39312434,0.00346214,0.00185905
plastid,0.888,0.929029,0.30405707,0.003252,0.00126518
plastid,0.8985,0.919767,0.39022277,0.00343754,0.00183761
plastid,0.9015,0.924183,0.37629221,0.00395805,0.00200694
plastid,0.9035,0.924219,0.39328208,0.00345998,0.00185314
plastid,0.904,0.922825,0.38730702,0.00332139,0.00174135
plastid,0.9025,0.923735,0.38792523,0.00334719,0.00176978
plastid,0.8915,0.918134,0.36899739,0.00392629,0.00203735
plastid,0.899,0.925782,0.37783074,0.00392749,0.00206099
plastid,0.9,0.921214,0.38128278,0.00365013,0.00189232
plastid,0.8935,0.919305,0.38052411,0.00383715,0.00198351
plastid,0.886,0.91045,0.37409415,0.00350861,0.00178801
plastid,0.8995,0.921953,0.38807838,0.00394018,0.00210082
plastid,0.8975,0.919312,0.38381272,0.00389008,0.0021001
plastid,0.8995,0.923685,0.37723939,0.00389318,0.00201079
archaea,0.9195,0.910329,0.3640263,0.06612143,0.02926166
archaea,0.9325,0.894311,0.61356652,0.10038801,0.09009468
archaea,0.9255,0.879374,0.63693314,0.13480459,0.12547935
archaea,0.927,0.950316,0.31886123,0.04415788,0.01937652
archaea,0.962,0.939086,0.55385736,0.04129544,0.03429612
archaea,0.9025,0.855523,0.67801034,0.07595232,0.07431357
archaea,0.956,0.94732,0.41158911,0.04731505,0.02589252
archaea,0.9725,0.952881,0.45134239,0.04861076,0.02798872
archaea,0.967,0.956596,0.46346063,0.07911772,0.04947676
archaea,0.9225,0.876482,0.64522533,0.0934104,0.08798813
archaea,0.9375,0.952577,0.33227309,0.06595666,0.030736
archaea,0.915,0.871175,0.65309377,0.09756425,0.09265502
